"Statistics name :","Prefectural Data Basic Data"
"Table Number :","0000010101"
"Title :","[System of Social and Demographic Statistics] System of Social and Demographic Statistics A Population and Households"
"Implementation date :","-","-"
"Cities, Towns and Villages :","-"

"***","Data not available"
"-","Not applicable"
"X","Not available"

"","","","","","1975100000","1976100000","1977100000","1978100000","1979100000","1980100000","1981100000","1982100000","1983100000","1984100000","1985100000","1986100000","1987100000","1988100000","1989100000","1990100000","1991100000","1992100000","1993100000","1994100000","1995100000","1996100000","1997100000","1998100000","1999100000","2000100000","2001100000","2002100000","2003100000","2004100000","2005100000","2006100000","2007100000","2008100000","2009100000","2010100000","2011100000","2012100000","2013100000","2014100000","2015100000","2016100000"
"A Population and Households Code","A Population and Households","AREA Code","AREA","/SURVEY YEAR","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"A1101","A1101_Total population (Both sexes)[person]","20000","Nagano-ken","","2,017,564","2,033,000","2,048,000","2,062,000","2,074,000","2,083,934","2,093,000","2,102,000","2,112,000","2,125,000","2,136,927","2,143,000","2,148,000","2,149,000","2,153,000","2,156,627","2,162,000","2,169,000","2,175,000","2,184,000","2,193,984","2,203,000","2,207,000","2,210,000","2,210,000","2,215,168","2,222,000","2,215,000","2,210,000","2,206,000","2,196,114","2,189,000","2,182,000","2,173,000","2,162,000","2,152,449","2,142,000","2,132,000","2,122,000","2,110,000","2,098,804","2,088,000"
"A1101","A1101_Total population (Both sexes)[person]","21000","Gifu-ken","","1,867,978","1,889,000","1,909,000","1,927,000","1,943,000","1,960,107","1,975,000","1,990,000","2,004,000","2,017,000","2,028,536","2,036,000","2,044,000","2,051,000","2,058,000","2,066,569","2,073,000","2,082,000","2,089,000","2,095,000","2,100,315","2,104,000","2,106,000","2,108,000","2,107,000","2,107,700","2,111,000","2,110,000","2,110,000","2,108,000","2,107,226","2,105,000","2,104,000","2,100,000","2,091,000","2,080,773","2,071,000","2,062,000","2,053,000","2,043,000","2,031,903","2,022,000"
"A1101","A1101_Total population (Both sexes)[person]","22000","Shizuoka-ken","","3,308,799","3,341,000","3,368,000","3,396,000","3,423,000","3,446,804","3,472,000","3,498,000","3,522,000","3,547,000","3,574,692","3,597,000","3,619,000","3,639,000","3,657,000","3,670,840","3,687,000","3,704,000","3,716,000","3,729,000","3,737,689","3,745,000","3,752,000","3,758,000","3,761,000","3,767,393","3,780,000","3,784,000","3,790,000","3,791,000","3,792,377","3,795,000","3,796,000","3,793,000","3,783,000","3,765,007","3,752,000","3,739,000","3,730,000","3,715,000","3,700,305","3,688,000"
"A1101","A1101_Total population (Both sexes)[person]","23000","Aichi-ken","","5,923,569","5,988,000","6,052,000","6,115,000","6,171,000","6,221,638","6,266,000","6,309,000","6,353,000","6,401,000","6,455,172","6,512,000","6,566,000","6,606,000","6,649,000","6,690,603","6,729,000","6,776,000","6,810,000","6,839,000","6,868,336","6,897,000","6,931,000","6,973,000","7,006,000","7,043,300","7,091,000","7,131,000","7,170,000","7,209,000","7,254,704","7,307,000","7,357,000","7,399,000","7,411,000","7,410,719","7,418,000","7,431,000","7,449,000","7,464,000","7,483,128","7,507,000"
"A1101","A1101_Total population (Both sexes)[person]","24000","Mie-ken","","1,626,002","1,638,000","1,649,000","1,661,000","1,672,000","1,686,936","1,702,000","1,716,000","1,728,000","1,737,000","1,747,311","1,756,000","1,765,000","1,772,000","1,782,000","1,792,514","1,803,000","1,814,000","1,823,000","1,833,000","1,841,358","1,846,000","1,851,000","1,855,000","1,856,000","1,857,339","1,862,000","1,863,000","1,864,000","1,867,000","1,866,963","1,872,000","1,873,000","1,871,000","1,864,000","1,854,724","1,847,000","1,841,000","1,833,000","1,826,000","1,815,865","1,808,000"
"A1101","A1101_Total population (Both sexes)[person]","25000","Shiga-ken","","985,621","1,006,000","1,026,000","1,043,000","1,061,000","1,079,898","1,097,000","1,112,000","1,127,000","1,141,000","1,155,844","1,166,000","1,178,000","1,191,000","1,206,000","1,222,411","1,235,000","1,248,000","1,261,000","1,273,000","1,287,005","1,298,000","1,310,000","1,323,000","1,332,000","1,342,832","1,354,000","1,361,000","1,368,000","1,375,000","1,380,361","1,390,000","1,398,000","1,405,000","1,409,000","1,410,777","1,413,000","1,414,000","1,415,000","1,414,000","1,412,916","1,413,000"
"A1101","A1101_Total population (Both sexes)[person]","26000","Kyoto-fu","","2,424,856","2,452,000","2,474,000","2,494,000","2,512,000","2,527,330","2,539,000","2,553,000","2,569,000","2,578,000","2,586,574","2,595,000","2,601,000","2,604,000","2,604,000","2,602,460","2,608,000","2,615,000","2,618,000","2,622,000","2,629,592","2,634,000","2,638,000","2,643,000","2,645,000","2,644,391","2,649,000","2,648,000","2,650,000","2,650,000","2,647,660","2,646,000","2,643,000","2,640,000","2,637,000","2,636,092","2,633,000","2,628,000","2,622,000","2,616,000","2,610,353","2,605,000"
"A1101","A1101_Total population (Both sexes)[person]","27000","Osaka-fu","","8,278,925","8,330,000","8,373,000","8,412,000","8,445,000","8,473,446","8,509,000","8,543,000","8,588,000","8,632,000","8,668,095","8,705,000","8,737,000","8,748,000","8,744,000","8,734,516","8,750,000","8,761,000","8,762,000","8,759,000","8,797,268","8,807,000","8,808,000","8,813,000","8,813,000","8,805,081","8,821,000","8,821,000","8,824,000","8,825,000","8,817,166","8,828,000","8,839,000","8,847,000","8,855,000","8,865,245","8,863,000","8,861,000","8,856,000","8,845,000","8,839,469","8,833,000"
"A1101","A1101_Total population (Both sexes)[person]","28000","Hyogo-ken","","4,992,140","5,029,000","5,063,000","5,093,000","5,119,000","5,144,892","5,171,000","5,198,000","5,227,000","5,252,000","5,278,050","5,300,000","5,319,000","5,344,000","5,372,000","5,405,040","5,426,000","5,443,000","5,457,000","5,469,000","5,401,877","5,421,000","5,455,000","5,494,000","5,528,000","5,550,574","5,572,000","5,580,000","5,589,000","5,592,000","5,590,601","5,592,000","5,593,000","5,592,000","5,591,000","5,588,133","5,584,000","5,575,000","5,565,000","5,550,000","5,534,800","5,520,000"
"A1101","A1101_Total population (Both sexes)[person]","29000","Nara-ken","","1,077,491","1,098,000","1,124,000","1,152,000","1,181,000","1,209,365","1,233,000","1,254,000","1,273,000","1,290,000","1,304,866","1,318,000","1,333,000","1,347,000","1,363,000","1,375,481","1,388,000","1,400,000","1,412,000","1,420,000","1,430,862","1,437,000","1,442,000","1,443,000","1,444,000","1,442,795","1,442,000","1,437,000","1,434,000","1,428,000","1,421,310","1,417,000","1,413,000","1,407,000","1,404,000","1,400,728","1,395,000","1,388,000","1,381,000","1,373,000","1,364,316","1,356,000"
